Intent,Question,Answer
Contact,What is the contact for newsletter?,newsletter@iub.edu.pk
Contact,Is there emergency contact?,Emergency: 042-123-4567 (Security)
Contact,How can I contact for event permissions?,events@iub.edu.pk
Contact,What is the contact for media queries?,media@iub.edu.pk
Contact,How to contact for building maintenance?,maintenance@iub.edu.pk
Contact,What is the contact for cafeteria?,cafeteria@iub.edu.pk
Contact,Is there contact for lost and found?,lost.found@iub.edu.pk
Contact,How can I contact for parking issues?,parking@iub.edu.pk
Contact,What is the contact for WiFi problems?,wifi.support@iub.edu.pk
Contact,How to contact for auditorium booking?,auditorium@iub.edu.pk
Contact,What is the contact for newsletter?,news@iub.edu.pk
Contact,Is there contact for research grants?,grants@iub.edu.pk
Contact,How can I contact for collaboration?,collaboration@iub.edu.pk
Contact,What is the contact for summer programs?,summer@university.edu
Migration,How can I apply for migration?,Migration process is defined by admin office.
Migration,Is migration allowed?,Migration is allowed under conditions.
Migration,What documents are needed for migration?,Academic documents are required.
Migration,What is the migration policy?,Migration allowed after completion of first year.
Migration,Can I migrate from other university?,Yes migration from recognized universities allowed.
Migration,What is the process for migration?,Submit migration application with required documents.
Migration,Is there migration fee?,Yes migration processing fee of PKR 5000.
Migration,What are the eligibility criteria for migration?,Minimum 2.5 CGPA in previous institution.
Migration,Can I migrate to different program?,Program change during migration requires approval.
Migration,When can I apply for migration?,Migration applications accepted during admission period.
Migration,What documents are required?,"NOC, transcripts, character certificate from previous institution."
Migration,Is migration possible in mid-semester?,No migration only at semester start.
Migration,What is the credit transfer policy?,Maximum 50% credits can be transferred.
Migration,Can international students apply for migration?,Yes with equivalence certificate.
Migration,What is the duration for migration process?,Process takes 4-6 weeks after application.
Migration,Is there interview for migration?,Yes migration committee interview required.
Migration,What if my previous institution is not recognized?,Migration not allowed from unrecognized institutions.
Migration,Can I migrate from distance learning to regular?,Yes with additional requirements.
Migration,What is the minimum attendance requirement for migration?,75% attendance in previous institution.
Migration,Is migration allowed for failed students?,No students with F grade not eligible.
Migration,What programs allow migration?,Most programs allow migration except professional degrees.
Migration,Can I migrate with scholarship?,Scholarship not transferable; new application required.
Migration,What is the last date for migration application?,Same as regular admission deadline.
Migration,Is there quota for migration students?,Limited seats reserved for migration students.
Migration,What is the age limit for migration?,Same as regular admission age criteria.
Migration,Can I migrate from foreign university?,Yes with equivalence from HEC.
Migration,What is the migration committee approval process?,Committee meets monthly to review applications.
Migration,Is migration allowed for diploma holders?,Yes with relevant diploma and marks.
Migration,What are the hostel arrangements for migrants?,Hostel subject to availability.
Migration,Can I migrate with back subjects?,No all subjects must be cleared.
Migration,What is the fee structure for migration students?,Same as regular students.
Migration,Is migration possible between campuses?,Yes inter-campus migration allowed.
Migration,What is the merit requirement for migration?,Migration merit based on previous academic record.
Migration,Can I migrate after gap year?,Yes with explanation for gap period.
Migration,What is the character certificate requirement?,Clean disciplinary record required.
Migration,Is migration allowed for transfer within university?,Yes inter-department migration possible.
Migration,What is the admission test requirement for migrants?,May be required depending on program.
Migration,Can I migrate with provisional certificate?,Yes but final certificate must be submitted later.
Migration,What is the medical fitness requirement for migration?,Medical certificate required.
Migration,Is migration allowed for evening to morning shift?,Yes shift change possible during migration.
Migration,What is the English proficiency requirement?,Minimum IELTS 6.0 or equivalent for migrants.
Migration,Can I migrate from affiliated college?,Yes from recognized affiliated colleges.
Migration,What is the semester placement for migrants?,Placement based on transferred credits.
Migration,Is there any bond for migration students?,No bond requirement for migration.
Library,What are library timings?,"Library is open from 8 AM to 10 PM on weekdays, 9 AM to 6 PM on weekends."
Library,How can I become a library member?,All enrolled students are automatically library members.
Library,Can I borrow books from library?,Yes students can borrow up to 3 books for 2 weeks.
Library,Is there digital library access?,Yes online database access available through university portal.
Library,What are the library fines for late return?,PKR 10 per day per book for overdue items.
Library,Are there study rooms in library?,Yes group study rooms available on reservation.
Library,Can alumni use the library?,Yes alumni can use library with alumni card.
Library,What databases are available?,"IEEE, Springer, JSTOR, and other academic databases."
Library,Is printing available in library?,Yes printing and photocopying at nominal charges.
Library,How many books does library have?,Library has over 100000 books and journals.
Library,Can I access library from home?,Yes remote access through VPN for enrolled students.
Library,What is the procedure for book reservation?,Books can be reserved through online catalog.
Library,Are there rare books collection?,Yes special collection section with rare books.
Library,Is there inter-library loan service?,Yes books can be borrowed from other universities.
Library,What are the library rules?,"Silence must be maintained, no food or drinks allowed."
Library,Can visitors use the library?,Visitors allowed with prior permission.
Library,Is there thesis section in library?,Yes all university theses available in reference section.
Library,What is the library membership fee?,Free for students nominal fee for outsiders.
Library,Are there library workshops?,Yes regular workshops on research skills.
Library,Can I suggest book purchases?,Yes suggestion box available at librarian office.
Library,What is the lost book penalty?,Cost of book plus processing fee for lost items.
Library,Is there book return drop box?,Yes drop box available after library hours.
Library,Are newspapers available in library?,Yes national and international newspapers.
Library,What is the library holiday schedule?,Closed on public holidays; special schedule during exams.
Library,Can I renew books online?,Yes online renewal up to 2 times if no reservation.
Library,Are e-books available?,Yes extensive e-book collection available.
Library,What is the library catalog system?,Online catalog accessible through university website.
Library,Is there plagiarism checking software?,Yes Turnitin available for faculty and students.
Library,Can I donate books to library?,Yes book donations accepted with approval.
Library,What is the reference desk timing?,Reference librarian available during library hours.
Library,Are there audio-visual materials?,Yes audio-visual section with educational materials.
Library,Is there library app?,Yes mobile app available for library services.
Library,What are the photocopy charges?,PKR 2 per page for black and white copies.
Library,Can I access past exam papers?,Yes past papers available in reference section.
Library,Is there book scanning service?,Yes scanning available at nominal charges.
Library,What is the maximum borrowing period?,14 days for students 30 days for faculty.
Library,Are there library assistants to help?,Yes library staff available for assistance.
Library,Can I check my borrowing history?,Yes through online library account.
Library,What is the library committee?,Student-faculty committee for library improvements.
Library,Is there summer borrowing policy?,Extended borrowing during summer vacation.
Examination,When are final exams conducted?,Final exams are at the end of each semester.
Examination,What is the exam schedule?,Detailed schedule published one month before exams.
Examination,How can I get exam admit card?,Admit cards available online through student portal.
Examination,What is the exam grading system?,"A (4.0), B (3.0), C (2.0), D (1.0), F (0.0)"
Examination,Can I apply for exam rechecking?,Yes within 15 days of result declaration.
Examination,What is the rechecking fee?,PKR 500 per paper for rechecking.
Examination,Is there supplementary exam?,Yes supplementary exams conducted after regular exams.
Examination,What is the passing criteria?,Minimum 50% marks or grade C required.
Examination,Are calculators allowed in exams?,Only in specified papers; generally not allowed.
Examination,What is the exam attendance requirement?,75% attendance required to appear in exams.
Examination,Can I change my exam center?,Exam center changes allowed in special circumstances.
Examination,What is the procedure for exam absence?,Medical certificate required for absent students.
Examination,Are there model papers available?,Yes model papers available on department websites.
Examination,What is the exam conduct rules?,"No cheating, no mobile phones, valid ID required."
Examination,How are exam papers evaluated?,Double-blind evaluation system followed.
Examination,When will semester results be announced?,Results announced within 6 weeks of exams.
Examination,Can I see my evaluated answer sheets?,Yes after result declaration for limited period.
Examination,What is the process for grade improvement?,Repeat course in next semester for grade improvement.
Examination,Is there semester freeze option?,Yes with valid reason and committee approval.
Examination,What are the exam timings?,Morning and evening shifts; 9 AM and 2 PM typically.
Examination,Can disabled students get extra time?,Yes special arrangements for disabled students.
Examination,What is the weightage of assignments?,Assignments carry 20-30% weight in final grade.
Examination,Are there practical exams?,Yes for science and engineering programs.
Examination,What is the viva voce examination?,Oral examination for graduate programs.
Examination,Can I take exam in Urdu medium?,No all exams are in English.
Examination,What is the exam committee?,Faculty committee responsible for exam conduct.
Examination,Is there online exam system?,Some courses have online exams.
Examination,What is the process for unfair means case?,Committee investigates and decides penalty.
Examination,Are exam dates negotiable?,No fixed dates; changes only in emergencies.
Examination,What is the external examiner system?,External examiners for fair evaluation.
Examination,Can I appear as private candidate?,No only regular students can appear.
Examination,What is the exam eligibility criteria?,Fee clearance and attendance requirement.
Examination,Are there semester projects evaluation?,Yes projects evaluated separately.
Examination,What is the marking scheme?,Marking scheme provided with question paper.
Examination,Is there negative marking in exams?,No negative marking in semester exams.
Examination,What is the transcript grading?,CGPA based on all semester grades.
Examination,Can I get duplicate marksheet?,Yes with application and fee.
Examination,What is the convocation requirement?,Clear all credits with minimum CGPA 2.0.
Examination,Are there gold medals in exams?,Yes for top position holders in each program.
Transport,Is transport facility available?,Yes university buses available on designated routes.
Transport,What are the transport routes?,Routes cover major city areas; details on website.
Transport,How much is transport fee?,Transport fee is PKR 5000 per semester.
Transport,Is transport compulsory?,No transport service is optional.
Transport,What are the bus timings?,"Buses arrive at 8 AM and leave campus at 5 PM."
Transport,Are there separate buses for female students?,Yes separate buses with female drivers/conductors.
Transport,Can I get monthly transport pass?,Yes monthly passes available at transport office.
Transport,What is the procedure for transport complaints?,Complaints can be registered at transport office.
Transport,Is there transport for evening students?,Yes special schedule for evening program students.
Transport,What is the pickup/drop policy?,Fixed pickup points; no door-to-door service.
Transport,Are there transport for disabled students?,Yes wheelchair accessible transport available.
Transport,Can staff use student transport?,Yes subject to seat availability.
Transport,What is the transport refund policy?,No refund after semester starts.
Transport,Is there online transport registration?,Yes through student portal.
Transport,What is the vehicle fleet?,Air-conditioned buses and vans.
Transport,Are there transport for field trips?,Yes separate arrangements for academic trips.
Transport,What is the safety measures in transport?,"GPS tracking, speed limits, trained drivers."
Transport,Can I suggest new routes?,Yes suggestions considered at start of each semester.
Transport,What is the transport committee?,Student representative committee for transport issues.
Transport,Is there car parking for students?,Yes free parking for students with cars.
Transport,What are the parking rules?,Valid parking sticker required; assigned areas.
Transport,Can motorcycles be parked on campus?,Yes designated motorcycle parking areas.
Transport,What is the bicycle facility?,Bicycle stands available across campus.
Transport,Is there shuttle service within campus?,Yes electric shuttle for large campus areas.
Transport,What is the transport for hostel students?,Special buses for hostel students on weekends.
Transport,Are there transport charges for guests?,Yes nominal charges for guest transport.
Transport,What is the lost and found in buses?,Contact transport office for lost items.
Transport,Is there transport during exams?,Yes special schedule during examination period.
Transport,What is the transport for international students?,Airport pickup service available for new international students.
Transport,Can parents use university transport?,Yes on open day and special events.
Transport,What is the fuel charges adjustment?,Fuel charges adjusted annually if needed.
Transport,Is there transport for sports events?,Yes transport for away matches and events.
Transport,What is the transport booking system?,Advance booking for special trips.
Transport,Are there electric vehicles in fleet?,Yes gradually adding electric buses.
Transport,What is the driver qualification?,All drivers have PSV license and training.
Transport,Is there transport for summer courses?,Yes limited transport during summer.
Transport,What is the emergency transport?,Emergency transport available for medical emergencies.
Transport,Can students drive university vehicles?,No only authorized drivers allowed.
Transport,What is the insurance coverage?,All vehicles fully insured.
Transport,Is there transport for cultural events?,Yes for inter-university events.
Transport,What is the maintenance schedule?,Regular maintenance as per manufacturer guidelines.
Transport,Are there seat belts in buses?,Yes seat belts mandatory in all buses.
Transport,What is the child policy on buses?,Children below 5 free; above 5 need ticket.
Transport,Is there transport for PhD scholars?,Yes all enrolled students eligible.
Transport,What is the cancellation policy?,Cancellation allowed before semester starts with refund.
Placement,Does university have placement cell?,Yes dedicated placement and career services cell.
Placement,Which companies visit campus for recruitment?,"Tech companies, banks, FMCG, and multinationals."
Placement,What is the average placement package?,Average package PKR 80000 per month for graduates.
Placement,How can I register for placement?,Automatic registration for final year students.
Placement,Are there internship opportunities?,Yes summer internship program with companies.
Placement,What is the placement process?,"Pre-placement talks, tests, interviews, and selection."
Placement,Is there placement for all programs?,Yes but more opportunities for professional programs.
Placement,What are the top recruiters?,"IBM, Microsoft, Nestle, Unilever, and local companies."
Placement,Can alumni help with placements?,Yes alumni network actively participates.
Placement,What is the placement percentage?,Approximately 80% of eligible students get placed.
Placement,Are there overseas placement opportunities?,Limited overseas opportunities through partner companies.
Placement,What skills do recruiters look for?,"Technical skills, communication, and problem-solving."
Placement,Is there resume building workshop?,Yes regular workshops on resume writing.
Placement,What is the interview preparation help?,Mock interviews and GD sessions conducted.
Placement,Are there placement for MBA?,Yes strong placement record for MBA graduates.
Placement,What is the highest package offered?,Highest package PKR 200000 per month.
Placement,Can previous students access placement?,Alumni can use career services for 2 years.
Placement,What is the internship stipend range?,PKR 15000-30000 per month for internships.
Placement,Are there startup incubation support?,Yes startup incubation center for entrepreneurs.
Placement,What is the industry-academia linkage?,Strong linkages through MOUs with industries.
Placement,Is there career counseling available?,Yes one-on-one career counseling sessions.
Placement,What are the placement eligibility criteria?,Minimum 2.5 CGPA and no active backlogs.
Placement,Are there off-campus placement drives?,Yes information shared about off-campus opportunities.
Placement,What is the dress code for placements?,Formal business attire required.
Placement,Can international students get placement?,Yes companies hiring international students.
Placement,What is the placement calendar?,Placement season from September to March.
Placement,Are there pre-placement offers?,Yes based on internship performance.
Placement,What is the role of placement committee?,Student committee assists placement cell.
Placement,Is there placement for MS/PhD?,Yes research and academic positions.
Placement,What are the emerging sector placements?,Growing opportunities in IT and digital marketing.
Placement,Can students start their own business?,Yes entrepreneurship cell provides support.
Placement,What is the alumni mentorship program?,Senior alumni mentor students for careers.
Placement,Are there part-time job opportunities?,Yes part-time jobs list maintained.
Placement,What is the foreign company recruitment?,Multinational companies recruit regularly.
Placement,Is there placement for arts students?,Yes media education and corporate sectors.
Placement,What are the government job preparations?,Special sessions for competitive exams.
Placement,Can students get recommendation letters?,Yes from faculty for job applications.
Placement,What is the placement data privacy?,Student data shared only with consent.
Placement,Are there soft skills training?,Yes comprehensive soft skills development program.
Placement,What is the company registration process?,Companies register through placement portal.
Placement,Is there placement for differently-abled?,Yes special efforts for inclusive placement.
Placement,What are the summer internship deadlines?,Applications close in March for summer internships.
International,Are there international students at university?,Yes students from various countries study here.
International,What are the admission requirements for international students?,"Valid passport, academic certificates, and English proficiency."
International,Is there separate application for international students?,Yes international admission office handles applications.
International,What is the fee structure for international students?,Higher fees for international students in US dollars.
International,Are there scholarships for international students?,Limited scholarships available for top international students.
International,What is the visa process?,University provides admission letter for visa application.
International,Is there airport pickup service?,Yes free airport pickup for new international students.
International,What accommodation options for international students?,Priority given for hostel accommodation.
International,Are there orientation programs for international students?,Yes comprehensive orientation upon arrival.
International,What is the English language requirement?,Minimum IELTS 6.0 or TOEFL 80 required.
International,Can international students work on campus?,Yes limited on-campus work permitted.
International,What is the health insurance requirement?,Health insurance mandatory for all international students.
International,Are there international student advisors?,Yes dedicated advisors for international students.
International,What cultural activities are there for international students?,Cultural events and trips organized regularly.
International,Is there halal food available on campus?,Yes halal food available in all cafeterias.
International,What is the safety situation for international students?,Campus is safe with 24/7 security.
International,Are there prayer facilities on campus?,Yes separate prayer rooms for males and females.
International,What is the climate like?,Moderate climate with four distinct seasons.
International,Can international students bring family?,Family can accompany but separate accommodation needed.
International,What is the international student association?,Active student association organizing events.
International,Are there exchange programs for international students?,Yes various exchange opportunities available.
International,What banking facilities are available?,Bank branches on campus with foreign currency services.
International,Is there international student handbook?,Yes comprehensive guide provided at orientation.
International,What is the process for equivalency certificates?,HEC equivalency required for foreign qualifications.
International,Can international students get local SIM cards?,Yes help provided for mobile connections.
International,What is the international office contact?,international@university.edu
International,Are there language support services?,Yes English language support available.
International,What is the international student enrollment process?,"Apply online, submit documents, get admission letter, apply visa."
International,Is there international student mentorship?,Yes senior students mentor new international students.
International,What are the popular programs for international students?,"Engineering, Business, and Computer Science."
International,Can international students transfer credits?,Yes credit transfer possible from recognized institutions.
International,What is the international student fee payment?,Payment in US dollars through bank transfer.
International,Are there international alumni networks?,Yes active international alumni chapters.
International,What is the graduation rate for international students?,High graduation rate with proper support.
International,Can international students participate in sports?,Yes all sports facilities available.
International,What is the medical facility for international students?,Campus medical center with international standards.
International,Are there international research collaborations?,Yes many faculty have international collaborations.
International,What is the international student success rate?,Excellent success rate with proper guidance.
International,Can international students get part-time jobs off-campus?,Limited off-campus work allowed with permission.
International,What is the international student community size?,Approximately 500 international students from 30 countries.
International,Are there international student scholarships from home country?,Yes information provided about home country scholarships.
International,What is the international student graduation ceremony?,Special recognition at convocation.
International,Can international students stay after graduation?,Yes can apply for work visa through proper channels.
International,What is the international student feedback system?,Regular feedback collected for continuous improvement.
International,Are there international student emergency funds?,Yes emergency financial assistance available.
International,What is the international student code of conduct?,Same as local students with additional visa compliance.
International,Can international students travel during holidays?,Yes with proper documentation and university information.
International,What is the international student re-entry process?,Valid visa and documents required for re-entry.
International,Are there international student success stories?,Many success stories of international graduates.
